Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
200701182,49.234,55.611,60.814,43.927,90.941,58.266,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.313,50.643,58.488,82.806,57.991,64.126,44.835,44.997,49.975,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 200701182,93.908
Fiocruz_R154,48.737,55.532,60.456,43.886,90.369,57.901,55.625,61.512,60.366,48.126,93.564,64.244,63.772,42.418,50.549,58.301,82.017,57.613,63.744,44.946,45.076,49.885,Icterohaemorrhagiae,1,interrogans,93.564
Fiocruz_LV3096,48.77,55.378,60.371,43.389,90.397,57.792,54.928,60.93,59.956,47.504,93.602,64.257,63.763,41.935,50.038,57.914,82.055,57.584,63.604,44.421,44.227,49.543,Icterohaemorrhagiae,1,interrogans,93.602
Fiocruz_LV2825,48.922,55.538,60.425,43.92,90.407,58.184,55.652,61.538,60.132,48.12,93.606,64.307,63.829,42.41,50.546,58.122,82.07,57.671,64.119,44.938,45.076,49.611,Icterohaemorrhagiae,1,interrogans,93.606
Vehlefans_3,65.286,79.799,48.249,40.278,53.23,42.326,93.608,81.041,89.754,36.728,52.776,48.786,44.738,32.296,62.669,80.416,52.42,42.538,44.741,35.268,39.915,40.791,Pomona,2,kirschneri,93.608
Vehlefans_2,65.329,80.136,48.249,40.314,53.23,42.322,93.622,81.041,89.754,36.728,52.776,48.881,44.738,32.296,62.569,80.416,52.439,42.538,44.741,35.268,39.915,41.529,Pomona,2,kirschneri,93.622
Fiocruz_LV3094,48.852,55.459,60.58,43.398,90.426,57.973,55.225,60.961,60.07,47.54,93.626,64.452,63.951,42.146,50.071,57.939,82.198,57.761,63.807,44.663,44.661,49.799,Icterohaemorrhagiae,1,interrogans,93.626
202102997,46.991,54.707,59.363,41.178,88.148,57.222,53.681,59.363,57.739,46.872,92.619,63.603,62.992,41.419,47.634,56.172,80.324,56.898,63.26,44.046,42.707,48.882,Icterohaemorrhagiae,1,interrogans,92.619
CLEP00179,49.234,55.267,60.814,43.927,90.941,58.266,55.848,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.643,58.454,82.475,57.991,64.008,44.946,44.838,50.089,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.908
UP-OM,50.028,52.787,68.616,43.018,88.317,62.26,50.836,57.683,57.32,47.447,84.741,66.65,64.865,41.36,50.507,55.371,93.133,61.341,66.714,43.377,45.685,50.771,Pyrogenes,1,interrogans,93.133
Fiocruz_LV3834,48.988,55.598,60.715,43.927,90.832,57.882,55.426,61.546,60.543,48.126,93.699,64.321,64.07,42.418,50.285,58.22,82.46,57.909,63.7,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,93.699
202103003,48.079,55.786,59.707,42.583,89.397,58.028,54.897,60.903,58.931,47.575,93.814,63.928,63.711,41.972,48.856,57.406,81.512,57.187,63.927,44.574,43.562,49.523,Icterohaemorrhagiae,1,interrogans,93.814
Fiocruz_LV3086,49.231,55.89,60.805,43.927,90.593,57.92,55.656,61.542,60.539,47.986,93.789,64.413,63.935,42.283,50.549,58.485,82.243,57.774,63.897,44.808,45.076,50.089,Icterohaemorrhagiae,1,interrogans,93.789
L495,50.213,54.153,68.796,43.221,88.523,62.769,51.765,58.005,57.358,47.432,85.418,66.823,64.848,41.5,50.74,55.778,93.854,61.486,67.27,43.327,45.657,51.706,Pyrogenes,1,interrogans,93.854
HAI821,30.828,33.273,40.665,47.494,41.405,38.099,32.58,34.313,36.611,35.263,41.063,38.874,36.514,35.156,31.614,35.529,40.602,36.341,44.419,34.707,90.578,72.243,Tarassovi,4,santarosai,90.578
Fiocruz_LV2805,49.071,55.68,60.624,43.778,90.648,58.144,55.597,61.454,60.315,48.044,93.837,64.515,63.977,42.368,50.347,58.307,81.963,57.825,64.085,44.903,45.001,50.044,Icterohaemorrhagiae,1,interrogans,93.837
Fiocruz_LV192,49.232,55.877,60.637,43.925,90.686,58.013,55.657,61.544,60.541,47.838,93.87,64.504,63.973,42.169,50.551,58.488,82.315,57.824,64.021,44.684,45.061,50.089,Icterohaemorrhagiae,1,interrogans,93.87
CR2120,35.042,35.659,44.665,52.713,45.805,39.709,37.646,38.437,40.674,38.528,45.234,42.684,39.668,37.661,35.791,40.209,44.431,39.858,48.125,38.14,96.216,78.343,Shermani,4,santarosai,96.216
Fiocruz_LV2948,49.234,55.878,60.796,43.927,90.715,58.01,55.659,61.546,60.543,47.908,93.897,64.487,63.982,42.117,50.552,58.454,82.201,57.821,63.834,44.745,45.076,50.067,Icterohaemorrhagiae,1,interrogans,93.897
Ag07_2020,62.355,78.084,48.859,39.458,53.856,40.755,85.489,82.904,91.355,36.504,51.088,47.554,45.739,31.814,60.275,74.262,51.436,43.516,43.946,34.279,39.748,41.132,Grippotyphosa,2,kirschneri,91.355
Mallika,61.214,73.938,47.288,41.106,54.352,42.042,80.371,95.834,83.67,38.677,54.639,47.536,44.435,33.458,60.705,86.318,53,40.352,45.172,35.468,39.61,39.493,Autumnalis,2,Leptospira interrogans serovar Bulgarica str. Mallika,95.834
Fiocruz_LV130,49.231,55.971,60.811,43.927,90.938,58.263,56.33,61.542,60.539,48.126,93.905,64.67,64.159,42.266,50.639,58.485,83.023,57.988,64.123,44.786,44.997,49.925,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV3409,49.231,55.47,60.791,43.927,90.938,58.263,56.346,61.542,60.539,48.126,93.905,64.67,64.159,42.386,50.639,58.451,83.032,57.988,64.005,44.946,44.982,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4034,49.231,55.555,60.791,43.927,90.938,58.183,55.656,61.542,60.539,48.126,93.905,64.67,64.159,41.969,50.549,58.451,82.302,57.988,64.005,44.508,44.997,49.635,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4108,49.231,55.278,60.791,43.927,90.938,58.263,56.267,61.542,60.539,48.126,93.905,64.67,64.159,41.969,50.639,58.485,82.881,57.988,64.123,44.508,44.838,49.636,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4113,49.231,55.512,60.791,43.927,90.938,58.183,56.079,61.542,60.539,48.126,93.905,64.67,64.159,42.386,50.549,58.451,82.865,57.988,64.005,44.946,44.867,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4188,49.231,55.761,60.811,43.927,90.938,58.183,56.079,61.542,60.539,48.126,93.905,64.67,64.159,42.208,50.549,58.485,82.878,57.988,64.123,44.731,44.997,49.864,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4225,49.231,55.477,60.791,43.927,90.938,58.183,56.157,61.542,60.539,48.126,93.905,64.67,64.159,42.386,49.893,58.451,82.757,57.988,64.005,44.946,44.838,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_2756_C1,49.057,55.687,60.814,43.927,90.941,58.266,55.848,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.643,58.488,83.219,57.991,64.126,44.946,44.305,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV251,49.057,55.508,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.552,58.454,83.072,57.991,64.008,44.946,44.305,50.104,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2750,49.234,55.673,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,41.998,50.552,58.488,82.777,57.991,64.126,44.512,44.997,49.64,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2755,49.057,55.692,60.794,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,41.969,50.552,58.454,83.006,57.991,64.008,44.515,44.384,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2766,49.234,55.968,60.814,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,42.215,50.552,58.488,82.713,57.991,64.126,44.738,44.997,49.872,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2807,49.234,55.308,60.814,43.927,90.941,58.186,56.02,61.546,60.543,48.126,93.908,64.673,64.162,41.991,50.552,58.454,82.964,57.991,64.008,44.505,44.838,49.632,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2816,49.234,55.877,60.794,43.927,90.941,58.186,56.208,61.546,60.543,48.126,93.908,64.673,64.162,42.284,50.552,58.488,83.067,57.991,64.126,44.839,44.997,49.979,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2841,49.234,55.473,60.794,43.927,90.941,58.266,56.208,61.546,60.543,48.126,93.908,64.673,64.162,42.386,49.986,58.488,82.641,57.991,64.126,44.946,44.838,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2919,49.234,55.882,60.794,43.927,90.941,58.266,56.271,61.546,60.543,48.126,93.908,64.673,64.162,41.972,50.643,58.488,82.232,57.991,64.126,44.512,45.076,49.64,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3076,49.234,55.636,60.814,43.927,90.941,58.266,56.24,61.546,60.543,48.126,93.908,64.673,64.162,41.92,50.643,58.488,81.984,57.991,64.126,44.428,44.845,49.554,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3213,49.234,55.974,60.814,43.927,90.941,58.266,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.316,50.643,58.488,82.855,57.991,64.126,44.839,44.997,49.979,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3726,49.234,55.897,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,93.908,64.673,64.162,41.994,49.896,58.488,82.881,57.991,64.126,44.491,44.997,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4114,49.234,55.951,60.794,43.927,90.941,58.266,56.334,61.546,60.543,48.126,93.908,64.673,64.162,41.972,50.643,58.454,82.971,57.991,64.008,44.519,45.061,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4118,49.234,55.705,60.814,43.927,90.941,58.266,56.334,61.546,60.543,48.126,93.908,64.673,64.162,42.001,50.643,58.454,82.953,57.991,64.008,44.508,44.997,49.636,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4152,49.234,55.344,60.814,43.927,90.941,58.266,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.004,50.643,58.454,83.012,57.991,64.008,44.519,44.982,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4160,49.234,55.48,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,41.892,49.896,58.454,82.533,57.991,64.008,44.404,44.838,49.536,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4173,49.234,55.523,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,42.418,49.896,58.454,82.784,57.991,64.008,44.946,44.997,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4174,49.234,55.623,60.814,43.927,90.941,58.186,56.02,61.546,60.543,48.126,93.908,64.673,64.162,42.215,50.552,58.488,83.048,57.991,64.126,44.738,44.997,49.872,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4211,49.234,55.291,60.794,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,41.969,50.552,58.454,82.796,57.991,64.008,44.515,44.838,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4212,49.234,55.498,60.814,43.927,90.941,58.186,56.082,61.546,60.543,48.126,93.908,64.673,64.162,41.994,49.896,58.488,82.991,57.991,64.126,44.508,44.838,49.636,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4217,49.234,55.335,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.001,50.552,58.488,82.982,57.991,64.126,44.515,44.982,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4234,49.234,55.968,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.266,50.552,58.488,82.836,57.991,64.126,44.786,44.997,49.925,Icterohaemorrhagiae,1,interrogans,93.908
CLEP00152,49.234,55.276,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.552,58.488,81.949,57.991,64.126,44.946,44.817,50.07,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.908
Fiocruz_LV2897,49.093,55.738,60.665,43.747,90.763,58.008,55.507,61.347,60.375,48.005,93.95,64.534,64.096,42.306,50.402,58.281,82.007,57.937,63.871,44.833,44.916,49.976,Icterohaemorrhagiae,1,interrogans,93.95
56101,49.107,55.025,60.669,43.927,90.673,58.187,55.655,61.541,60.369,48.126,93.658,64.534,64.009,42.418,50.413,58.335,82.159,57.858,63.767,44.946,44.78,50.046,Icterohaemorrhagiae,1,Leptospira interrogans,93.658
MH4027,49.335,57.093,60.997,44.035,91.071,58.432,56.542,62.816,60.634,48.045,95.427,65.125,64.108,42.402,50.284,59.097,82.926,58.162,65.062,45.02,44.789,51.11,Icterohaemorrhagiae,1,interrogans,95.427
56626,63.559,75.596,47.855,41.094,55.909,42.618,79.299,92.83,86.863,39.068,55.769,48.626,45.338,32.941,61.366,89.602,53.803,41.189,44.616,35.654,39.31,40.331,Autumnalis,2,Leptospira interrogans,92.83
Fiocruz_L1-130,49.234,55.894,60.811,43.92,90.93,58.177,55.648,61.534,60.539,48.118,94.112,64.67,64.159,41.844,50.553,58.477,82.561,57.994,64.123,44.356,45.083,49.491,Icterohaemorrhagiae,1,interrogans,94.112
Fiocruz_LV199,49.234,55.882,60.814,43.913,90.938,58.186,55.659,61.546,60.543,48.126,94.119,64.673,64.162,42.418,50.552,58.488,82.561,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2767,49.231,55.884,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.451,82.248,57.988,64.005,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2772,49.231,55.878,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.451,82.239,57.988,64.005,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV3373,49.231,55.869,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.485,82.236,57.988,64.123,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2791,49.234,55.888,60.814,43.927,90.939,58.186,55.659,61.546,60.543,48.126,94.12,64.673,64.162,42.418,50.552,58.488,82.561,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.12
Fiocruz_LV2973,49.234,55.888,60.814,43.927,90.939,58.186,55.659,61.546,60.543,48.126,94.12,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.949,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.12
Fiocruz_LV239,49.169,55.797,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.232,57.991,64.126,44.946,45.061,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2752,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2756C6,49.234,55.891,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.404,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2759,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2763,49.234,55.881,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2776,49.234,55.881,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2787,49.234,55.878,60.817,43.927,90.941,58.189,55.659,61.546,60.543,48.126,94.122,64.676,64.165,42.418,50.552,58.488,82.235,57.991,64.123,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2790,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2811,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2812,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2958,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.55,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2959,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV3323,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV3879,49.234,55.894,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.244,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
NIID21,49.419,57.334,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.193,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
201801761,60.543,75.8,48.928,40.246,56.904,41.075,80.112,91.375,92.993,37.937,55.097,47.037,46.554,32.552,60.022,80.895,55.909,42.492,44.01,33.957,39.464,40.99,Grippotyphosa,2,interrogans,92.993
NIID16,49.419,57.366,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.267,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
NIID7,49.419,57.366,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.251,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
NIID13,49.485,57.366,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,83.251,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
NIID17,49.419,57.337,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.177,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
UP_MMC_NIID_HP,50.755,54.153,68.796,43.221,88.523,62.769,52.015,58.005,57.358,47.432,85.418,66.823,64.848,41.5,50.74,55.778,94.21,61.486,67.27,43.327,45.664,51.706,Pyrogenes,1,interrogans,94.21
UP_MMC_NIID_LP,50.755,54.153,68.796,43.221,88.523,62.769,52.015,58.005,57.358,47.432,85.418,66.823,64.848,41.5,50.74,55.778,94.21,61.486,67.27,43.327,45.664,51.706,Pyrogenes,1,interrogans,94.21
NIID11,49.419,57.334,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.177,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
201401993,64.487,78.249,49.575,39.873,54.137,41.763,86.556,82.359,93.922,36.43,51.522,48.846,46.274,32.539,61.979,74.109,52.205,42.522,42.803,34.976,39.72,41.584,Grippotyphosa,2,kirschneri,93.922
56618,49.164,55.178,60.808,43.869,90.942,58.272,55.85,61.536,60.547,48.123,93.9,64.674,64.162,42.411,50.562,58.485,82.648,57.986,63.695,44.953,44.596,50.049,Icterohaemorrhagiae,1,Leptospira interrogans,93.9
200208340,47.678,55.616,59.819,41.637,88.844,56.93,54.278,60.147,58.458,46.219,93.29,63.787,62.635,40.864,48.379,56.823,80.473,57.165,63.599,43.596,42.513,49.719,Icterohaemorrhagiae,1,interrogans,93.29
UI29382,61.212,73.951,47.335,41.104,54.35,42.042,80.376,95.517,84.047,38.677,54.637,47.536,44.435,33.458,60.703,87.253,53.947,40.35,44.969,35.468,39.524,39.493,Autumnalis,2,Leptospira interrogans,95.517
202100065,35.326,38.187,45.129,53.15,46.092,41.235,37.168,39.364,41.316,38.488,45.578,43.091,40.052,36.562,35.704,41.599,44.685,40.195,49.948,37.405,96.268,80.059,Shermani,4,santarosai,96.268
202103004,48.49,56.748,60.139,42.983,89.995,58.104,55.173,61.467,59.509,47.623,94.396,64.336,63.852,42.018,49.293,58.019,82.083,57.542,64.264,44.59,44.118,50.039,Icterohaemorrhagiae,1,interrogans,94.396
grippotyphosa1231,61.581,76.249,48.743,40.684,56.695,41.411,82.27,91.301,93.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Grippotyphosa,2,interrogans,93.3
257K,61.547,75.066,46.875,41.057,54.321,42.014,80.85,95.741,84.467,38.524,55.39,47.362,44.508,32.984,60.428,88.824,53.954,40.27,45.757,35.555,39.524,40.141,Autumnalis,2,interrogans,95.741
201802615,49.419,56.98,61.086,44.035,91.182,58.432,56.463,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,82.688,58.243,65.062,45.02,44.811,51.217,Icterohaemorrhagiae,1,interrogans,95.535
Duyster-Boelhouwer,62.345,76.017,49.061,39.209,54.041,41.048,85.218,83.401,92.29,36.595,51.294,47.454,45.92,31.768,60.577,73.526,51.18,43.791,43.514,34.02,39.494,40.851,Grippotyphosa,2,Leptospira kirschneri serovar Grippotyphosa str. Duyster-Boelhouwer,92.29
wtmanilae,50.742,54.131,68.781,43.213,88.513,62.724,51.578,57.996,57.34,47.421,85.408,66.813,64.834,41.567,50.732,55.768,94.004,61.485,67.27,43.392,45.664,51.758,Pyrogenes,1,interrogans,94.004
202202802,48.332,56.656,60.156,43.27,89.751,58.02,55.734,61.906,59.432,47.16,94.154,64.347,63.342,41.851,49.111,57.874,81.947,57.432,64.667,44.449,44.225,50.626,Icterohaemorrhagiae,1,interrogans,94.154
200309516,49.412,57.659,60.791,43.612,91.174,58.426,56.129,62.807,60.394,48.035,94.998,64.95,63.908,42.392,50.276,59.2,83.166,57.962,64.817,45.016,44.93,50.86,Icterohaemorrhagiae,1,interrogans,94.998
201601174,49.503,57.367,61.082,44.031,91.178,58.429,56.459,62.811,60.754,48.041,95.531,65.224,64.183,42.398,50.359,59.204,82.986,58.239,65.059,45.016,45.028,51.212,Icterohaemorrhagiae,1,interrogans,95.531
201700045,64.325,79.98,49.623,40.652,54.094,43.275,87.207,84.021,93.994,36.717,50.731,48.315,46.428,33.379,62.166,75.937,52.765,42.636,43.258,36.137,39.922,44.142,Grippotyphosa,2,kirschneri,93.994
202103001,48.071,56.195,59.643,42.532,89.346,57.941,54.741,60.728,58.875,47.44,93.837,63.87,63.602,41.858,48.782,57.374,81.477,57.203,63.888,44.464,43.513,49.568,Icterohaemorrhagiae,1,interrogans,93.837
56678,48.878,54.866,60.458,43.824,90.484,58.181,55.743,61.411,60.2,47.994,94.58,64.341,63.907,42.315,50.468,58.137,82.219,57.742,63.505,44.841,44.435,49.627,Icterohaemorrhagiae,1,Leptospira interrogans,94.58
R103,49.506,57.825,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.678,58.243,65.062,45.02,45.034,51.217,Icterohaemorrhagiae,1,interrogans,95.535
201801189,61.349,74.914,46.937,41.112,54.399,42.017,81.046,95.789,84.049,38.577,55.471,47.446,44.45,33.008,60.535,88.709,53.582,40.338,45.748,35.57,39.345,40.108,Autumnalis,2,interrogans,95.789
202101578,49.419,57.177,61.086,44.031,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,83.176,58.243,65.062,45.02,44.962,51.212,Icterohaemorrhagiae,1,interrogans,95.535
201801172bis,61.06,74.423,46.499,41.089,54.119,42.005,78.804,94.328,83.731,38.552,55.206,47.197,44.229,32.772,60.273,87.535,53.462,40.135,45.277,35.546,39.249,40.079,Autumnalis,2,interrogans,94.328
202103006,48.839,57.169,60.779,43.775,90.759,58.432,56.206,62.463,60.327,48.045,95.129,64.938,64.108,42.402,50.024,58.785,82.536,58.001,64.878,45.02,44.808,50.846,Icterohaemorrhagiae,1,interrogans,95.129
grippotyphosa1481,61.771,76.456,48.743,40.684,56.695,41.407,82.239,91.301,93.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Grippotyphosa,2,interrogans,93.3
201800707,49.419,57.177,61.086,44.035,91.182,58.432,56.463,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.196,82.725,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
2002000634,49.153,55.26,60.709,43.927,90.837,58.266,55.848,61.546,60.419,48.126,93.807,64.593,64.084,41.949,50.643,58.343,82.259,57.911,64.008,44.494,44.802,49.5,Icterohaemorrhagiae,1,interrogans,93.807
200010104,49.485,57.461,61.086,44.035,91.182,58.432,56.463,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.698,58.243,65.062,45.02,44.789,51.217,Icterohaemorrhagiae,1,interrogans,95.535
200209405,49.25,56.804,60.634,43.446,91.026,58.43,56.108,62.799,60.121,48.028,94.464,64.802,63.732,42.399,50.132,59.04,82.535,57.811,64.806,45.012,44.781,50.832,Icterohaemorrhagiae,1,interrogans,94.464
M001_Tn_Mutant_Parent,50.34,52.796,68.547,43.018,88.317,62.201,50.901,57.683,57.32,47.447,84.741,66.585,64.776,41.488,50.507,55.494,93.066,61.29,67.449,43.506,45.678,50.903,Pyrogenes,1,Leptospira interrogans serovar Manilae str. M001_Tn_Mutant_Parent,93.066
MK146,46.59,49.803,87.166,39.287,67.718,77.807,52.266,51.789,56.35,39.734,70.5,96.565,65.396,40.174,49.491,53.182,71.727,70.871,67.037,44.135,44.981,58.475,Javanica,1,Leptospira borgpetersenii serovar Javanica str. MK146,96.565
